Geneid,Feature,Coefficient
A2M,A2M,0.009393259555205783
A2M,B2M,0.009242981942828238
A2M,C7,-0.0007317057467814556
A2M,CD74,-0.006514433393326287
A2M,COL5A1,-0.009219117671041268
A2M,EGR1,0.005305134366887078
A2M,FGFR1,-0.00961727875010204
A2M,LTBP1,0.00268091916525759
A2M,SPP1,-0.0017270895816440426
A2M,THBS1,0.004262595694417027
ACVR1C,A2M,0.0003475974542126336
ACVR1C,COL6A3,-1.7367060687867842e-05
ADAM12,THBS1,9.702132101076569e-05
ADGRE1,A2M,-9.775288411458143e-05
ADGRE1,B2M,1.9564518952261522e-05
ADGRE1,CD74,-1.3513501029635243e-05
ADGRE1,COL5A1,-0.00034930348798579476
ADGRE1,COL6A3,0.0001962312862737553
ADGRE1,CTNNB1,0.00010710278373616518
ADGRE1,EGR1,5.075024246699002e-06
ADGRE1,ENO1,3.0528632495923166e-05
ADGRE1,ESR1,0.0005364614120158856
ADGRE1,PKM,0.0003233005667827814
ADGRE1,SPP1,1.5801109552965857e-05
ADGRE1,STAT1,0.00033367065153615965
ADGRE1,THBS1,-1.5738879501688482e-05
ADGRE1,VCAN,-1.8478638589305243e-05
ADM,COL6A3,8.298532147578934e-20
ADORA2A,CD74,-1.100452863483231e-05
ADORA2A,THBS1,1.920606437432786e-05
AKT1,ALDOA,-3.5393622360443866e-05
AKT1,CD74,-0.0004134288220482231
AKT1,COL6A3,-0.0005678419582370737
AKT1,EGR1,-0.00018606416005012617
AKT1,LTBP1,0.0010770943221424863
AKT1,MKI67,0.0002661673071887055
AKT1,SPP1,-2.5338498876467646e-05
AKT1,VCAN,0.003297037623416658
ALDOA,COL6A3,0.0003787923154539448
ALDOA,EGR1,-0.001710608604520357
ALDOA,FGFR1,0.0028557227482975925
ALDOA,VCAN,0.0007658143092195625
ALDOC,COL6A3,-2.0746330368947335e-20
ANGPT2,COL6A3,-2.123610394742274e-05
ANGPT2,LTBP1,0.00016558250754518294
APC,THBS1,2.9410596479877416e-20
APLNR,A2M,0.0001442076716518935
APLNR,B2M,4.3452099228889316e-05
APLNR,C7,-1.2552770246843672e-05
APLNR,CD74,-0.00011540132618628943
APLNR,COL5A1,-0.00013196508909966794
APLNR,FGFR1,-1.3392265923914784e-05
APLNR,STAT1,0.0009255903688423818
APLNR,THBS1,9.25486412080001e-05
APOL6,THBS1,2.3528477183901933e-19
AQP9,THBS1,1.1764238591950967e-19
AREG,THBS1,9.411390873560773e-19
ARG1,C7,-1.0368653149446245e-05
ARG1,CD74,-4.040480468973324e-06
ARG1,COL6A3,-5.130667504640011e-06
ARG1,EGR1,6.363463850298661e-06
ARG1,FGFR1,-4.9674553645807455e-05
ARG1,LTBP1,1.732466073390943e-05
ARG1,MYC,-7.580460924903025e-05
ARG1,RPL23,-8.684967941801922e-05
ARG1,SPP1,-1.4346059771665386e-05
ARG1,THBS1,4.309168215366286e-05
ARG2,THBS1,2.9410596479877416e-20
ARID1A,CD74,2.9307870025402866e-05
ATF3,EGR1,0.0016882754638543884
ATM,A2M,0.0007944158519134749
ATM,ALDOA,0.0004796197384384913
ATM,B2M,0.0013632236495708043
ATM,C7,0.00043083708885125415
ATM,CD74,-0.0007871652361789609
ATM,COL5A1,-0.0008816905582125296
ATM,COL6A3,4.684439133102507e-05
ATM,FGFR1,-0.00039440033165453656
ATM,HIF1A,8.334137988270133e-05
ATM,SPP1,-0.000552750372431388
ATM,THBS1,0.0005213113126754686
ATM,TPI1,0.0016539393964732254
AXIN1,EGR1,-4.8607046028296094e-05
AXL,CD74,-0.0002944959963142445
AXL,THBS1,0.0005003224987589811
B2M,CD74,-0.005485495131322582
B2M,EGR1,0.014617859220055585
B2M,THBS1,0.015329204340720609
BAD,EGR1,-3.300147404137023e-20
BAMBI,CD74,-0.00013049641847479788
BATF3,COL5A1,-0.00016810365359294318
BATF3,CTNNB1,0.00025533881873756334
BATF3,EGR1,-2.9201612109309278e-05
BATF3,PKM,0.00017029850580481986
BATF3,THBS1,0.0001410874109434204
BAX,COL6A3,4.149266073789467e-20
BBC3,THBS1,3.068042406160424e-05
BBS1,A2M,0.0007121791892588955
BBS1,ALDOA,0.0005891883973165354
BBS1,APOE,0.003190376393221107
BBS1,C7,0.0018780191817787029
BBS1,CD47,0.005307884673676989
BBS1,CD74,-0.0008154962753647962
BBS1,COL5A1,0.00250528687607358
BBS1,COL6A3,-0.0008285327344863967
BBS1,EGR1,-0.000808906744056724
BBS1,FGFR1,-0.0005924089102500189
BBS1,HIF1A,-0.000692332269044006
BBS1,HLA-B,0.0018757852166954782
BBS1,IFITM1,0.0008444598721268041
BBS1,MKI67,0.0005950031887025085
BBS1,MMP7,-0.000741793081619109
BBS1,MYC,0.002138432774629763
BBS1,PKM,0.00030102709779474874
BBS1,POLR2A,-0.0016552528139503224
BBS1,RPL23,-0.0012353765866818915
BBS1,RPL7A,1.3140588362936718e-05
BBS1,SPP1,0.0002092592199442747
BBS1,STAT1,-3.0474595822906922e-05
BBS1,TFRC,0.00027433480297028493
BBS1,VCAN,-0.0005672415686268528
BCAT1,COL6A3,3.3194128590315736e-19
BCL2,CD74,-8.176818244444385e-05
BCL2,EGR1,0.00021398680796499923
BCL2,FGFR1,-0.0003218965697757093
BCL2,VCAN,-0.00014932341291803479
BCL2L1,COL6A3,-8.298532147578934e-20
BCL6B,THBS1,4.065091418328993e-05
BID,EGR1,1.8109114111537052e-05
BID,THBS1,2.2430708335411617e-05
BIRC3,C7,0.00011961421133471343
BIRC3,COL5A1,-0.0001832529173238824
BIRC3,PKM,0.001304045719989467
BIRC3,SPP1,-0.00013151789742331727
BIRC3,THBS1,0.00013447341491203339
BIRC3,VCAN,-0.00010925693192065828
BIRC5,CD74,2.035046184768447e-19
BMP2,EGR1,3.722542435628376e-05
BNIP3,THBS1,-2.9410596479877416e-20
BNIP3L,CD74,-0.0002915445995539886
BRD3,A2M,0.0004629136848948863
BRD3,APOE,0.0003448098022265278
BRD3,C7,-0.0001560225516106485
BRD3,CD74,-0.0004742891152022344
BRD3,COL6A3,0.0002490476028190822
BRD3,EGR1,-4.264595458307476e-05
BRD3,FGFR1,-0.0005163375502050006
BRD3,LTBP1,-0.0007752634053367556
BRD3,MKI67,0.004567346664725959
BRD3,PKM,-0.0027137771912102817
BRD3,S100A9,-0.00021920296662866258
BRD3,SPP1,-0.000293881610312502
BRD3,THBS1,-6.151495756562818e-05
BRD4,CD74,0.0007846742866239997
BRD4,COL6A3,-0.0006930638165209407
BRD4,MYC,0.00045416269557844844
BRD4,RPL7A,0.0003274995266612723
BRD4,THBS1,-0.0004421768012803622
BRD4,VCAN,-0.0002728808904149412
BTLA,THBS1,7.352649119969354e-21
C1QA,CD74,-0.0007989636524106702
C1QA,EGR1,0.0015036281142342283
C1QB,CD74,-0.0017262935880844308
C1QB,EGR1,0.0030548939174463597
C1QB,SPP1,0.00320122929885315
C5,CD74,-1.2719038654802794e-20
C5AR1,THBS1,5.882119295975483e-20
C7,EGR1,0.005164045366377525
CASP1,CD74,-0.00019522303354779216
CASP1,EGR1,0.00014714600882768163
CASP1,THBS1,0.0002922774362327307
CASP3,A2M,-0.00038561964353182106
CASP3,APOE,-0.0001958971128396953
CASP3,B2M,-0.00014986035797403123
CASP3,CD74,-0.00012642506126626222
CASP3,COL11A1,-0.00035360179430109646
CASP3,CTNNB1,0.0014936387537151474
CASP3,EGR1,0.0001384669276726212
CASP3,FGFR1,-0.0004165181919485406
CASP3,HLA-B,-0.00013020938146170042
CASP3,MKI67,0.00016461038671249282
CASP3,MYC,-0.0007474545103316714
CASP3,POLR2A,0.00036042426266949616
CASP3,RPL23,-0.0016187588457106884
CASP3,SPP1,-0.0002033574278866947
CASP3,THBS1,0.00048429006600796576
CASP3,UBB,-0.0005048076361636998
CASP9,ATM,-4.35395969157527e-05
CASP9,C7,8.359924127132143e-05
CASP9,COL5A1,0.0002808308913845507
CASP9,COL6A3,-3.026848194223834e-05
CASP9,EGR1,-0.00018734682466261762
CASP9,LTBP1,2.159667997140263e-05
CASP9,MKI67,2.1469530656232854e-05
CASP9,MYC,0.0003705738237513251
CASP9,NOTCH2,0.0013088759045562514
CASP9,PKM,0.0009578635502743856
CASP9,SPP1,-0.00012439456027175895
CASP9,THBS1,8.824141823905996e-05
CASP9,TPI1,0.000566593623111614
CASP9,VCAN,-0.00032299027012155744
CBLC,EGR1,-3.08453771809332e-05
CCL13,C7,3.012273385525967e-05
CCL13,LTBP1,6.482215108967762e-05
CCL14,A2M,0.007576877810502814
CCL14,B2M,0.0035785049808065047
CCL14,CD74,-0.0037585351147858058
CCL14,COL11A1,-0.00626209497007929
CCL14,CTNNB1,0.004319627958012931
CCL14,EGR1,0.0007143136736248311
CCL14,FGFR1,-0.004700934737040392
CCL14,SPP1,-0.001404549670925848
CCL14,STAT1,0.0054829643984241104
CCL14,THBS1,0.0015495430222063498
CCL18,EGR1,1.3200589616548092e-19
CCL19,B2M,0.0005750080576979159
CCL19,COL5A1,-0.0003288686576177862
CCL19,EGR1,0.0004914983778189109
CCL19,THBS1,0.0003978011833327724
CCL2,C7,-0.0005398408586637706
CCL2,CD74,-0.0032823979673384453
CCL2,COL11A1,-0.0042362806630915385
CCL2,COL6A3,-0.0004929013290368722
CCL2,CTNNB1,0.004725981996453904
CCL2,EGR1,0.001774231471330905
CCL2,PKM,0.005214959761413404
CCL2,RPL23,-0.010290574370379068
CCL2,SPP1,-0.0017413786206383428
CCL2,THBS1,0.0069622229301546535
CCL20,ALDOA,-0.0016719019545669263
CCL20,C7,0.0008910942878192561
CCL20,CD74,0.00014508572836245285
CCL20,COL11A1,0.004051454924534186
CCL20,ERBB2,0.006895207276827327
CCL20,LTBP1,-0.0003224719183848397
CCL20,MYC,0.0004927120093549766
CCL20,PKM,0.011231800057743466
CCL20,S100A9,-0.00204071384885902
CCL20,SLC2A1,-0.0012841091559332456
CCL20,SPP1,-8.024890730523028e-05
CCL20,THBS1,0.0008439430253948922
CCL20,VCAN,-0.0013544329456784384
CCL21,EGR1,6.600294808274046e-20
CCL22,B2M,0.00011844575684158953
CCL22,COL5A1,-7.085516422302884e-05
CCL22,THBS1,1.5747362394691712e-05
CCL3,CD74,-0.0005727326217641415
CCL3,EGR1,0.0014899194084050684
CCL3,THBS1,0.0002456369020958892
CCL4,CD74,-0.00032162492574751647
CCL4,EGR1,0.0006626146142822418
CCL4,THBS1,0.00015667013570190412
CCL4,VCAN,-1.4769290621935504e-05
CCL8,CD74,-0.0002762986361952952
CCL8,COL11A1,-0.0002471162123306126
CCL8,COL6A3,-0.00012702019415357103
CCL8,CTNNB1,0.00036810216293319616
CCL8,EGR1,9.258525509419508e-05
CCL8,LTBP1,0.0009021124345138384
CCL8,RPL23,-0.0002698181311271585
CCL8,SPP1,0.00014662994320523222
CCL8,THBS1,0.0006437702130285969
CCND1,VCAN,6.530549386929455e-19
CCND2,EGR1,2.6401179233096185e-19
CCR2,THBS1,5.0837211836752066e-05
CCR4,THBS1,0.00013871491611006312
CCR5,A2M,0.0002998433898030291
CCR5,CD74,-0.00015807203163065994
CCR5,EGR1,8.077696582409358e-05
CCR5,THBS1,0.00011500886648910293
CD14,CD74,-0.001027510581122235
CD14,EGR1,0.0013246367720815616
CD163,EGR1,0.0002786416183411438
CD19,THBS1,4.253514240415349e-05
CD1C,THBS1,3.450863397747491e-05
CD2,CD74,-1.3166304696423663e-05
CD2,EGR1,4.194865531451523e-05
CD2,THBS1,0.00010852213137654325
CD209,EGR1,9.218103967112008e-05
CD244,EGR1,8.250368510342558e-21
CD27,CD74,-6.635966701538729e-05
CD27,EGR1,0.00010820368931631653
CD27,THBS1,0.00013692555546335972
CD27,VCAN,-0.00010152469939523312
CD274,CD74,-1.3397289364317676e-05
CD274,THBS1,5.4674788075882715e-05
CD276,A2M,0.0011428829049640293
CD276,ALDOA,-0.0017381814832509892
CD276,BCAT1,-0.001725015012366929
CD276,C7,0.0006389247162611074
CD276,CD47,0.008907922582208374
CD276,CD74,-0.0008171153877238427
CD276,CENPF,-0.0010050572475223574
CD276,COL6A3,-0.0004430861108571153
CD276,CTNNB1,0.003340280334241624
CD276,ENO1,0.005392381640303633
CD276,FGFR1,-0.0020108951699191312
CD276,LDHA,0.0042868708674674485
CD276,MKI67,-0.0005625246894718484
CD276,RPL23,-0.002562677247398171
CD276,SPP1,-0.0014958822851583304
CD276,STAT1,0.001247875149355778
CD276,THBS1,0.0011121684181545125
CD28,A2M,0.00024398902221047113
CD28,B2M,0.0005148675971803768
CD28,CD74,-0.00023311864363729796
CD28,COL11A1,-0.0001293487135028045
CD28,COL5A1,-0.0002030426238383269
CD28,SPP1,-3.4279115969560176e-05
CD28,THBS1,0.0002296855553940945
CD300A,THBS1,2.9410596479877416e-20
CD38,THBS1,1.1764238591950967e-19
CD3D,EGR1,0.0002694094048801344
CD3E,A2M,8.589006771369718e-05
CD3E,C7,-0.0002326440672431074
CD3E,CD74,-7.206671566129198e-05
CD3E,COL5A1,-0.00011083366708885792
CD3E,COL6A3,-3.5781634554557434e-05
CD3E,EGR1,0.0003619250575606386
CD3E,SPP1,-5.0342772711792386e-06
CD3G,EGR1,4.885217843443346e-05
CD3G,THBS1,2.5305733373284517e-05
CD4,THBS1,2.3528477183901933e-19
CD40,COL6A3,9.6434371588009e-06
CD40,THBS1,7.516006703151252e-05
CD40LG,B2M,0.00011740736957511894
CD40LG,COL5A1,-2.211097047413114e-05
CD40LG,THBS1,6.8710019067207775e-06
CD44,A2M,0.0009417289094865534
CD44,C7,-0.00019918135114677088
CD44,CD74,-0.0010557202502917398
CD44,COL5A1,-0.002497410530294935
CD44,CTNNB1,0.004491331685904333
CD44,EGR1,0.0006739903545664787
CD44,LTBP1,0.006164433794635329
CD44,PKM,0.00638112089027887
CD44,SPP1,-0.0014233547148247753
CD44,STAT1,0.0014591721445920424
CD44,THBS1,0.0011726806908333113
CD44,VCAN,0.0001303183559878135
CD47,A2M,-0.000610826941547401
CD47,COL11A1,0.009026749748847594
CD47,COL6A3,-0.0037615275951187813
CD47,LTBP1,-0.004294797603420442
CD47,SPP1,0.0011311221643780134
CD48,EGR1,0.0003202663663392937
CD48,THBS1,0.00027318695709388144
CD5,CD74,-1.2222226192285247e-05
CD5,EGR1,7.39875550073955e-05
CD5,THBS1,2.99643859087355e-05
CD58,CD74,-1.2719038654802794e-20
CD68,CD74,-0.0006083410662927179
CD68,EGR1,0.001853907912136134
CD69,CD74,-0.0001456241510094051
CD69,EGR1,0.0007775009332832222
CD69,THBS1,7.554578224414008e-05
CD70,SPP1,8.588280491676828e-05
CD74,EGR1,0.0062582293388476744
CD79A,THBS1,0.00020693036286724078
CD79A,VCAN,-0.0001442029856469682
CD79B,THBS1,7.352649119969354e-21
CD80,CD74,-2.0201284021902528e-06
CD80,THBS1,4.580720261749938e-05
CD84,CD74,-0.00021255803152578638
CD84,EGR1,0.00043378078710551616
CD86,CD74,-6.118830035360453e-05
CD86,EGR1,2.412246962444704e-05
CD86,THBS1,0.0002036393147176209
CD8B,EGR1,0.00019225076921500778
CD96,EGR1,3.1749619819317586e-05
CDC20,SPP1,1.54086628467647e-19
CDC25C,CD74,-2.6266258329539535e-05
CDC25C,COL11A1,0.00015672614967190702
CDC25C,SPP1,0.00010399456322282993
CDC25C,VCAN,1.8492703260018056e-05
CDH11,CD74,-0.0016574159729399842
CDH11,COL6A3,0.0011188918476160293
CDH2,COL6A3,-0.00027234544412157964
CDH2,EGR1,-0.0003824105533266617
CDH2,SPP1,-0.0002545387597388093
CDH2,THBS1,-0.0003166597490262411
CDH5,EGR1,2.011623450644166e-05
CDK6,COL6A3,-7.785749557671178e-06
CDK6,FGFR1,-0.00014138684455976974
CDK6,LTBP1,-0.00022766248294829516
CDK6,THBS1,-5.7648307908473655e-05
CDK6,VCAN,-0.00019401856406178105
CDKN1A,CD74,-0.0003500594672019114
CDKN1A,EGR1,0.0012478410057099136
CDKN1A,THBS1,0.0005481369807342632
CDKN1A,VCAN,-4.4136389076665145e-05
CDKN1C,EGR1,6.600294808274046e-20
CDKN2A,SPP1,0.0008869322524308282
CEACAM3,THBS1,6.134182846306189e-06
CEBPB,THBS1,4.705695436780387e-19
CEP55,A2M,-0.0006496888248102773
CEP55,ALDOA,-0.003623247838235438
CEP55,APOE,-0.0019284385621889187
CEP55,ATM,0.003647082384007528
CEP55,B2M,-0.0004640135238596323
CEP55,C7,-0.0008976734609096442
CEP55,CD74,0.0013979132750743407
CEP55,CENPF,0.0022633306856429673
CEP55,COL5A1,0.0010955838694833803
CEP55,COL6A3,0.0010100304290291458
CEP55,CRABP2,-0.0035506452857836618
CEP55,CTNNB1,-0.0006685948031518751
CEP55,EGR1,0.000368520984169534
CEP55,ESR1,0.0008598017456806143
CEP55,HLA-B,-0.0023109474004107964
CEP55,HLA-DPA1,-4.476556646304228e-05
CEP55,IGF2R,-0.004708134089124301
CEP55,ITGAV,0.004286734592334696
CEP55,LDHA,0.001352975359175519
CEP55,LTBP1,0.001158297487813298
CEP55,MKI67,0.0008776439988182138
CEP55,MMP7,-0.003987760016257754
CEP55,MYC,-0.002207185900394754
CEP55,NF1,2.7436964869668022e-05
CEP55,NOTCH1,0.0010576560711615239
CEP55,NOTCH2,-0.0023503074991294355
CEP55,PIK3R1,0.0004261456270267895
CEP55,PKM,-0.0028375725533558048
CEP55,POLR2A,0.002397804156413973
CEP55,RPL23,0.00024731168909828685
CEP55,SPP1,4.4924394928046814e-05
CEP55,TFRC,0.0027178181817674608
CEP55,THBS1,-0.000751714666546708
CEP55,VCAN,-0.0004851367688724746
CES3,CD74,7.037433367176593e-05
CES3,EGR1,-3.1727431357723496e-05
CLEC14A,A2M,0.0012091760301278065
CLEC14A,C7,-0.00016649217567680401
CLEC14A,CD74,-0.0004286691887263214
CLEC14A,COL11A1,-0.0004332211626194852
CLEC14A,COL5A1,-0.0001725874126110548
CLEC14A,CTNNB1,0.00011950881872240691
CLEC14A,EGR1,9.343468372058267e-05
CLEC14A,FGFR1,-0.0006179951852723734
CLEC14A,MMP7,7.012387632942197e-05
CLEC14A,SPP1,-5.778381179856186e-05
CLEC14A,STAT1,0.0012266973292934284
CLEC14A,THBS1,0.00016667754205389786
CLEC5A,THBS1,2.9410596479877416e-20
CLEC7A,CD74,-0.00015198486369471113
CLEC7A,EGR1,0.0002491246696983711
CLEC7A,THBS1,0.00018289673130858822
CMKLR1,A2M,0.00010073368382074356
CMKLR1,B2M,0.0019462074040042974
CMKLR1,CD74,-0.000715776310921387
CMKLR1,COL5A1,-0.0006515082843260141
CMKLR1,EGR1,0.0003000738272091679
CMKLR1,FGFR1,-0.0002050937722431386
CMKLR1,PKM,0.00037546206635061664
CMKLR1,THBS1,0.00023928883118702984
CNTFR,A2M,0.00028769500672290243
CNTFR,B2M,0.00021243973496433218
CNTFR,C7,-7.387540208857583e-06
CNTFR,CD74,-0.00010689132706682994
CNTFR,COL6A3,-0.00011716813838750577
CNTFR,EGR1,-5.6942459097771155e-06
CNTFR,FGFR1,-0.00015010433436400133
CNTFR,MMP7,0.0010679166513684981
CNTFR,STAT1,0.0004305678830558681
COL11A2,B2M,7.777397816224199e-05
COL11A2,C7,4.6072208514349866e-07
COL11A2,COL6A3,-1.263597382456592e-05
COL11A2,EGR1,-6.940558318321956e-06
COL11A2,MYC,9.897090541504003e-05
COL11A2,RPL7A,0.00015447175337643455
COL11A2,THBS1,-7.668205768022072e-06
COL11A2,VCAN,-1.963384727969031e-05
COL17A1,CD74,-2.9460360883003737e-05
COL17A1,EGR1,-5.0709024039040615e-06
COL17A1,LTBP1,5.5251665705692214e-05
COL17A1,MKI67,-6.322162770279435e-05
COL17A1,THBS1,3.091257171104198e-05
COL17A1,VCAN,0.00010580262309262264
COL5A1,CD74,-0.0010477166241476192
COL5A1,THBS1,0.0019386216124118467
COL6A3,A2M,0.023890521146488444
COL6A3,CD74,-0.009640616087415822
COL6A3,COL5A1,-0.006262626206531306
COL6A3,ENO1,0.030080365991454628
COL6A3,FGFR1,-0.01959344617111461
COL6A3,MKI67,-0.0019348991006323051
COL6A3,SPP1,-0.010612556150068874
COL6A3,STAT1,0.009272733051137976
COL6A3,THBS1,0.014443182272320111
CPA3,A2M,0.0008036506231048297
CPA3,CD74,-0.0003747237731642282
CPA3,COL11A1,-0.0007251131635610163
CPA3,EGR1,9.623687527407874e-05
CPA3,FGFR1,-0.0007753927317386097
CPA3,RPL23,-0.0010450670944664423
CPA3,SPP1,-0.0003019715183049091
CPA3,THBS1,0.0005058013211887738
CRABP2,A2M,-0.0051144311505200895
CRABP2,ALDOA,-0.00020669635687790258
CRABP2,C7,-0.0010196096847939614
CRABP2,EGR1,-0.002338106797972889
CRABP2,LTBP1,0.0008398864331782144
CRABP2,MKI67,0.009946886560413707
CRABP2,PKM,-0.016379815367357053
CRABP2,SPP1,-0.004351674156125838
CRABP2,THBS1,-0.0011409537173158802
CRABP2,VCAN,0.00681236841611954
CSF1,CD74,-0.00030654867298592016
CSF1,EGR1,0.0002901559144949184
CSF1,SPP1,0.000840812847728178
CSF1,THBS1,0.00014076249760708288
CSF1R,C7,0.0016967491927471847
CSF1R,CD74,-0.0013524419601230622
CSF1R,EGR1,0.0002261592857838801
